country,count,bad_count,CCR
United States,39516,15257,0.3860967709282316
UNKNOWN,14084,11999,0.8519596705481397
Germany,2028,546,0.2692307692307692
Canada,1303,533,0.40905602455871065
Russia,1270,378,0.29763779527559053
Hong Kong,1050,304,0.2895238095238095
Netherlands,911,291,0.3194291986827662
France,871,230,0.26406429391504016
Brazil,857,328,0.38273045507584597
United Kingdom,830,176,0.21204819277108433
Japan,649,118,0.18181818181818182
China,626,109,0.17412140575079874
Ireland,412,97,0.2354368932038835
Czechia,355,239,0.6732394366197183
Singapore,352,132,0.375
Reserved for self identification,328,327,0.9969512195121951
Seychelles,310,42,0.13548387096774195
South Africa,299,33,0.11036789297658862
South Korea,299,135,0.451505016722408
British Virgin Islands,296,64,0.21621621621621623
Australia,255,103,0.403921568627451
Poland,233,83,0.3562231759656652
Italy,218,36,0.1651376146788991
Spain,201,81,0.40298507462686567
Finland,201,80,0.39800995024875624
India,196,77,0.39285714285714285
Sweden,134,31,0.23134328358208955
Belgium,114,3,0.02631578947368421
Indonesia,101,79,0.7821782178217822
Switzerland,100,20,0.2
Vietnam,83,27,0.3253012048192771
Denmark,82,17,0.2073170731707317
Malaysia,82,9,0.10975609756097561
Türkiye,80,32,0.4
Bulgaria,68,41,0.6029411764705882
Austria,60,7,0.11666666666666667
Ukraine,55,15,0.2727272727272727
Slovakia,53,22,0.41509433962264153
Taiwan,50,18,0.36
Localhost,49,41,0.8367346938775511
Romania,49,9,0.1836734693877551
Cyprus,47,38,0.8085106382978723
Hungary,47,5,0.10638297872340426
Iran,42,12,0.2857142857142857
Colombia,41,24,0.5853658536585366
Bangladesh,36,28,0.7777777777777778
Luxembourg,34,27,0.7941176470588235
Portugal,33,12,0.36363636363636365
Estonia,29,6,0.20689655172413793
Greece,28,8,0.2857142857142857
Lithuania,27,12,0.4444444444444444
Norway,27,7,0.25925925925925924
Palestine,25,25,1.0
Kazakhstan,23,3,0.13043478260869565
United Arab Emirates,21,11,0.5238095238095238
Croatia,20,2,0.1
Thailand,20,4,0.2
Private Network Class A,20,20,1.0
Slovenia,19,1,0.05263157894736842
Israel,18,10,0.5555555555555556
Serbia,16,4,0.25
Belize,16,14,0.875
Argentina,15,7,0.4666666666666667
Belarus,15,0,0.0
Chile,13,4,0.3076923076923077
Mexico,13,2,0.15384615384615385
Moldova,12,7,0.5833333333333334
Albania,9,9,1.0
Pakistan,8,1,0.125
New Zealand,7,1,0.14285714285714285
Saudi Arabia,6,2,0.3333333333333333
Iceland,6,1,0.16666666666666666
Georgia,6,4,0.6666666666666666
Nigeria,5,3,0.6
Latvia,5,1,0.2
Philippines,5,3,0.6
Egypt,4,2,0.5
Libya,4,4,1.0
Ecuador,4,1,0.25
Algeria,4,4,1.0
Nepal,3,0,0.0
Uruguay,3,0,0.0
Armenia,3,1,0.3333333333333333
Jordan,3,2,0.6666666666666666
Morocco,3,2,0.6666666666666666
Qatar,3,0,0.0
Cuba,3,0,0.0
Paraguay,3,1,0.3333333333333333
Sri Lanka,2,1,0.5
Kuwait,2,1,0.5
San Marino,2,0,0.0
Rwanda,2,0,0.0
North Macedonia,2,0,0.0
Bosnia and Herzegovina,2,1,0.5
Nicaragua,2,0,0.0
Bolivia,2,0,0.0
Cambodia,2,1,0.5
Uzbekistan,2,0,0.0
Private Network Class C,2,1,0.5
<not found in database>,2,1,0.5
Ghana,1,0,0.0
Yemen,1,1,1.0
Bhutan,1,0,0.0
Panama,1,1,1.0
Europe,1,0,0.0
Liechtenstein,1,0,0.0
Myanmar,1,0,0.0
Andorra,1,0,0.0
Marshall Islands,1,0,0.0
Mauritius,1,0,0.0
Malta,1,0,0.0
Bahrain,1,1,1.0
Kenya,1,1,1.0
Reserved Multicast Networks,1,0,0.0
Tajikistan,1,0,0.0
Puerto Rico,1,0,0.0
Cameroon,1,0,0.0
Venezuela,1,0,0.0
Aruba,1,0,0.0
French Polynesia,1,0,0.0
Azerbaijan,1,0,0.0
Reserved for Shared Address Space,1,1,1.0
Ivory Coast,1,1,1.0
Iraq,1,1,1.0
Gibraltar,1,0,0.0
Greenland,1,0,0.0
